row_id,source_row_id,order_id,user_id,product_category,payment_method,order_status,quantity,unit_price,discount,total_amount,order_time,pay_time
orders-row-0000000,ord-0000000,ord-0000000,user-00000,electronics,card,paid,4,8.200000,0.000000,32.800000,1700000000,1700000030
orders-row-0000001,ord-0000001,ord-0000001,user-00001,books,paypal,pending,1,10.600000,0.150000,9.010000,1700000090,1700000133
orders-row-0000002,ord-0000002,ord-0000002,user-00002,grocery,bank_transfer,shipped,3,11.600000,0.100000,31.320000,1700000180,1700000236
orders-row-0000003,ord-0000003,ord-0000003,user-00003,apparel,wallet,refunded,5,13.500000,0.050000,64.120000,1700000270,1700000339
orders-row-0000004,ord-0000004,ord-0000004,user-00004,home,card,completed,2,15.600000,0.000000,31.200000,1700000360,1700000442
orders-row-0000005,ord-0000005,ord-0000005,user-00005,sports,paypal,paid,4,17.000000,0.150000,57.800000,1700000450,1700000545
orders-row-0000006,ord-0000006,ord-0000006,user-00006,electronics,bank_transfer,pending,1,18.400000,0.100000,16.560000,1700000540,1700000648
orders-row-0000007,ord-0000007,ord-0000007,user-00007,books,wallet,shipped,3,20.600000,0.050000,58.710000,1700000630,1700000751
orders-row-0000008,ord-0000008,ord-0000008,user-00008,grocery,card,refunded,5,22.200000,0.000000,111.000000,1700000720,1700000854
orders-row-0000009,ord-0000009,ord-0000009,user-00009,apparel,paypal,completed,2,23.700000,0.150000,40.290000,1700000810,1700000957
orders-row-0000010,ord-0000010,ord-0000010,user-00010,home,bank_transfer,paid,4,25.200000,0.100000,90.720000,1700000900,1700001060
orders-row-0000011,ord-0000011,ord-0000011,user-00011,sports,wallet,pending,1,27.600000,0.050000,26.220000,1700000990,1700001163
orders-row-0000012,ord-0000012,ord-0000012,user-00012,electronics,card,shipped,3,28.600000,0.000000,85.800000,1700001080,1700001266
orders-row-0000013,ord-0000013,ord-0000013,user-00013,books,paypal,refunded,5,30.800000,0.150000,130.900000,1700001170,1700001369
orders-row-0000014,ord-0000014,ord-0000014,user-00014,grocery,bank_transfer,completed,2,32.000000,0.100000,57.600000,1700001260,1700001472
orders-row-0000015,ord-0000015,ord-0000015,user-00015,apparel,wallet,paid,4,33.800000,0.050000,128.440000,1700001350,1700001575
orders-row-0000016,ord-0000016,ord-0000016,user-00016,home,card,pending,1,36.000000,0.000000,36.000000,1700001440,1700001678
orders-row-0000017,ord-0000017,ord-0000017,user-00017,sports,paypal,shipped,3,37.800000,0.150000,96.390000,1700001530,1700001781
orders-row-0000018,ord-0000018,ord-0000018,user-00018,electronics,bank_transfer,refunded,5,38.800000,0.100000,174.600000,1700001620,1700001884
orders-row-0000019,ord-0000019,ord-0000019,user-00019,books,wallet,completed,2,40.400000,0.050000,76.760000,1700001710,1700001987
orders-row-0000020,ord-0000020,ord-0000020,user-00020,grocery,card,paid,4,42.500000,0.000000,170.000000,1700001800,1700002090
orders-row-0000021,ord-0000021,ord-0000021,user-00021,apparel,paypal,pending,1,44.400000,0.150000,37.740000,1700001890,1700002193
orders-row-0000022,ord-0000022,ord-0000022,user-00022,home,bank_transfer,shipped,3,46.300000,0.100000,125.010000,1700001980,1700002296
orders-row-0000023,ord-0000023,ord-0000023,user-00023,sports,wallet,refunded,5,48.000000,0.050000,228.000000,1700002070,1700002399
orders-row-0000024,ord-0000024,ord-0000024,user-00024,electronics,card,completed,2,49.500000,0.000000,99.000000,1700002160,1700002502
orders-row-0000025,ord-0000025,ord-0000025,user-00025,books,paypal,paid,4,50.800000,0.150000,172.720000,1700002250,1700002605
orders-row-0000026,ord-0000026,ord-0000026,user-00026,grocery,bank_transfer,pending,1,52.300000,0.100000,47.070000,1700002340,1700002708
orders-row-0000027,ord-0000027,ord-0000027,user-00027,apparel,wallet,shipped,3,54.300000,0.050000,154.750000,1700002430,1700002811
orders-row-0000028,ord-0000028,ord-0000028,user-00028,home,card,refunded,5,56.200000,0.000000,281.000000,1700002520,1700002914
orders-row-0000029,ord-0000029,ord-0000029,user-00029,sports,paypal,completed,2,57.700000,0.150000,98.090000,1700002610,1700003017
orders-row-0000030,ord-0000030,ord-0000030,user-00030,electronics,bank_transfer,paid,4,59.900000,0.100000,215.640000,1700002700,1700003120
orders-row-0000031,ord-0000031,ord-0000031,user-00031,books,wallet,pending,1,60.800000,0.050000,57.760000,1700002790,1700003223
orders-row-0000032,ord-0000032,ord-0000032,user-00032,grocery,card,shipped,3,63.200000,0.000000,189.600000,1700002880,1700003326
orders-row-0000033,ord-0000033,ord-0000033,user-00033,apparel,paypal,refunded,5,64.500000,0.150000,274.120000,1700002970,1700003429
orders-row-0000034,ord-0000034,ord-0000034,user-00034,home,bank_transfer,completed,2,66.700000,0.100000,120.060000,1700003060,1700003532
orders-row-0000035,ord-0000035,ord-0000035,user-00035,sports,wallet,paid,4,67.700000,0.050000,257.260000,1700003150,1700003635
orders-row-0000036,ord-0000036,ord-0000036,user-00036,electronics,card,pending,1,70.100000,0.000000,70.100000,1700003240,1700003738
orders-row-0000037,ord-0000037,ord-0000037,user-00037,books,paypal,shipped,3,71.100000,0.150000,181.300000,1700003330,1700003841
