anomaly_id,dataset,expected_issue_type,row_index,column_name,original_value,corrupted_value,repairable,source_row_id,duplicate_group,consistency_rule_name,created_by_seed,notes
orders_transactions-0001,orders_transactions,missing_values,1310,product_category,grocery,,True,ord-0001310,,,20260614,Cell was replaced with a missing value.
orders_transactions-0002,orders_transactions,missing_values,4725,unit_price,60.7,,True,ord-0004725,,,20260614,Cell was replaced with a missing value.
orders_transactions-0003,orders_transactions,missing_values,1390,payment_method,bank_transfer,,True,ord-0001390,,,20260614,Cell was replaced with a missing value.
orders_transactions-0004,orders_transactions,missing_values,2065,payment_method,paypal,,True,ord-0002065,,,20260614,Cell was replaced with a missing value.
orders_transactions-0005,orders_transactions,missing_values,4543,unit_price,31.2,,True,ord-0004543,,,20260614,Cell was replaced with a missing value.
orders_transactions-0006,orders_transactions,missing_values,3049,unit_price,12,,True,ord-0003049,,,20260614,Cell was replaced with a missing value.
orders_transactions-0007,orders_transactions,missing_values,1321,unit_price,14.6,,True,ord-0001321,,,20260614,Cell was replaced with a missing value.
orders_transactions-0008,orders_transactions,missing_values,3646,unit_price,46.7,,True,ord-0003646,,,20260614,Cell was replaced with a missing value.
orders_transactions-0009,orders_transactions,missing_values,3434,payment_method,bank_transfer,,True,ord-0003434,,,20260614,Cell was replaced with a missing value.
orders_transactions-0010,orders_transactions,missing_values,2132,payment_method,card,,True,ord-0002132,,,20260614,Cell was replaced with a missing value.
orders_transactions-0011,orders_transactions,missing_values,1205,product_category,sports,,True,ord-0001205,,,20260614,Cell was replaced with a missing value.
orders_transactions-0012,orders_transactions,missing_values,1504,product_category,home,,True,ord-0001504,,,20260614,Cell was replaced with a missing value.
orders_transactions-0013,orders_transactions,missing_values,3678,product_category,electronics,,True,ord-0003678,,,20260614,Cell was replaced with a missing value.
orders_transactions-0014,orders_transactions,missing_values,1261,unit_price,52.4,,True,ord-0001261,,,20260614,Cell was replaced with a missing value.
orders_transactions-0015,orders_transactions,missing_values,1576,discount,0,,True,ord-0001576,,,20260614,Cell was replaced with a missing value.
orders_transactions-0016,orders_transactions,missing_values,4250,payment_method,bank_transfer,,True,ord-0004250,,,20260614,Cell was replaced with a missing value.
orders_transactions-0017,orders_transactions,missing_values,4911,product_category,apparel,,True,ord-0004911,,,20260614,Cell was replaced with a missing value.
orders_transactions-0018,orders_transactions,missing_values,1036,payment_method,card,,True,ord-0001036,,,20260614,Cell was replaced with a missing value.
orders_transactions-0019,orders_transactions,missing_values,842,product_category,grocery,,True,ord-0000842,,,20260614,Cell was replaced with a missing value.
orders_transactions-0020,orders_transactions,missing_values,2726,product_category,grocery,,True,ord-0002726,,,20260614,Cell was replaced with a missing value.
orders_transactions-0021,orders_transactions,missing_values,3735,unit_price,58,,True,ord-0003735,,,20260614,Cell was replaced with a missing value.
orders_transactions-0022,orders_transactions,missing_values,4634,unit_price,46.1,,True,ord-0004634,,,20260614,Cell was replaced with a missing value.
orders_transactions-0023,orders_transactions,missing_values,4985,unit_price,13.2,,True,ord-0004985,,,20260614,Cell was replaced with a missing value.
orders_transactions-0024,orders_transactions,missing_values,3710,discount,0.1,,True,ord-0003710,,,20260614,Cell was replaced with a missing value.
orders_transactions-0025,orders_transactions,missing_values,1546,payment_method,bank_transfer,,True,ord-0001546,,,20260614,Cell was replaced with a missing value.
orders_transactions-0026,orders_transactions,missing_values,533,payment_method,paypal,,True,ord-0000533,,,20260614,Cell was replaced with a missing value.
orders_transactions-0027,orders_transactions,missing_values,2054,discount,0.1,,True,ord-0002054,,,20260614,Cell was replaced with a missing value.
orders_transactions-0028,orders_transactions,missing_values,3169,payment_method,paypal,,True,ord-0003169,,,20260614,Cell was replaced with a missing value.
orders_transactions-0029,orders_transactions,missing_values,2355,unit_price,22.4,,True,ord-0002355,,,20260614,Cell was replaced with a missing value.
orders_transactions-0030,orders_transactions,missing_values,4692,discount,0,,True,ord-0004692,,,20260614,Cell was replaced with a missing value.
orders_transactions-0031,orders_transactions,numeric_outlier,3101,discount,0.15,1.5,True,ord-0003101,,,20260614,Numeric value was moved outside the normal synthetic range.
