dataset,issue_type,gt,pred,tp,fp,fn,precision,recall,f1
stroke,missing_values,30,30,30,0,0,1.000000,1.000000,1.000000
stroke,numeric_outlier,24,146,24,122,0,0.164384,1.000000,0.282353
stroke,rare_category,18,18,18,0,0,1.000000,1.000000,1.000000
stroke,duplicate_record,12,12,12,0,0,1.000000,1.000000,1.000000
stroke,cross_column_consistency,16,16,16,0,0,1.000000,1.000000,1.000000
stroke,Overall,100,222,100,122,0,0.450450,1.000000,0.621118
orders_transactions,missing_values,30,31,30,1,0,0.967742,1.000000,0.983607
orders_transactions,numeric_outlier,24,63,24,39,0,0.380952,1.000000,0.551724
orders_transactions,rare_category,18,18,18,0,0,1.000000,1.000000,1.000000
orders_transactions,duplicate_record,12,12,12,0,0,1.000000,1.000000,1.000000
orders_transactions,cross_column_consistency,16,16,16,0,0,1.000000,1.000000,1.000000
orders_transactions,Overall,100,140,100,40,0,0.714286,1.000000,0.833333
user_device_logs,missing_values,30,30,30,0,0,1.000000,1.000000,1.000000
user_device_logs,numeric_outlier,24,24,24,0,0,1.000000,1.000000,1.000000
user_device_logs,rare_category,18,18,18,0,0,1.000000,1.000000,1.000000
user_device_logs,duplicate_record,12,12,12,0,0,1.000000,1.000000,1.000000
user_device_logs,cross_column_consistency,16,16,16,0,0,1.000000,1.000000,1.000000
user_device_logs,Overall,100,100,100,0,0,1.000000,1.000000,1.000000
