dataset,iqr_factor,robust_z_threshold,gt,pred,tp,fp,fn,precision,recall,f1,status,error
stroke,1.500000,3.500000,24,146,24,122,0,0.164384,1.000000,0.282353,ok,
stroke,1.500000,4.500000,24,146,24,122,0,0.164384,1.000000,0.282353,ok,
stroke,1.500000,5.000000,24,146,24,122,0,0.164384,1.000000,0.282353,ok,
stroke,2.000000,3.500000,24,49,24,25,0,0.489796,1.000000,0.657534,ok,
stroke,2.000000,4.500000,24,49,24,25,0,0.489796,1.000000,0.657534,ok,
stroke,2.000000,5.000000,24,49,24,25,0,0.489796,1.000000,0.657534,ok,
stroke,3.000000,3.500000,24,47,24,23,0,0.510638,1.000000,0.676056,ok,
stroke,3.000000,4.500000,24,15,15,0,9,1.000000,0.625000,0.769231,ok,
stroke,3.000000,5.000000,24,15,15,0,9,1.000000,0.625000,0.769231,ok,
orders_transactions,1.500000,3.500000,24,63,24,39,0,0.380952,1.000000,0.551724,ok,
orders_transactions,1.500000,4.500000,24,63,24,39,0,0.380952,1.000000,0.551724,ok,
orders_transactions,1.500000,5.000000,24,63,24,39,0,0.380952,1.000000,0.551724,ok,
orders_transactions,2.000000,3.500000,24,33,24,9,0,0.727273,1.000000,0.842105,ok,
orders_transactions,2.000000,4.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
orders_transactions,2.000000,5.000000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
orders_transactions,3.000000,3.500000,24,33,24,9,0,0.727273,1.000000,0.842105,ok,
orders_transactions,3.000000,4.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
orders_transactions,3.000000,5.000000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,1.500000,3.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,1.500000,4.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,1.500000,5.000000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,2.000000,3.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,2.000000,4.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,2.000000,5.000000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,3.000000,3.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,3.000000,4.500000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
user_device_logs,3.000000,5.000000,24,24,24,0,0,1.000000,1.000000,1.000000,ok,
