row_id,source_row_id,log_id,user_id,device_type,os,app_version,event_type,session_duration,bytes_sent,bytes_received,login_time,logout_time,is_success
logs-row-0000000,log-0000000,log-0000000,user-00000,phone,iOS,2.4.0,login,66,400,800,1800000000,1800000066,1
logs-row-0000001,log-0000001,log-0000001,user-00001,laptop,iOS,2.5.1,purchase,87,431,837,1800000075,1800000162,1
logs-row-0000002,log-0000002,log-0000002,user-00002,desktop,iOS,2.5.0,login_failed,44,462,874,1800000150,1800000194,0
logs-row-0000003,log-0000003,log-0000003,user-00003,tablet,iOS,2.4.1,view,125,493,911,1800000225,1800000350,1
logs-row-0000004,log-0000004,log-0000004,user-00004,phone,iOS,2.4.0,logout,143,524,948,1800000300,1800000443,1
logs-row-0000005,log-0000005,log-0000005,user-00005,laptop,iOS,2.5.1,login,163,555,985,1800000375,1800000538,1
logs-row-0000006,log-0000006,log-0000006,user-00006,desktop,iOS,2.5.0,purchase,184,586,1022,1800000450,1800000634,1
logs-row-0000007,log-0000007,log-0000007,user-00007,tablet,iOS,2.4.1,login_failed,45,617,1059,1800000525,1800000570,0
logs-row-0000008,log-0000008,log-0000008,user-00008,phone,iOS,2.4.0,view,224,648,1096,1800000600,1800000824,1
logs-row-0000009,log-0000009,log-0000009,user-00009,laptop,iOS,2.5.1,logout,236,679,1133,1800000675,1800000911,1
logs-row-0000010,log-0000010,log-0000010,user-00010,desktop,iOS,2.5.0,login,257,710,1170,1800000750,1800001007,1
logs-row-0000011,log-0000011,log-0000011,user-00011,tablet,iOS,2.4.1,purchase,279,741,1207,1800000825,1800001104,1
logs-row-0000012,log-0000012,log-0000012,user-00012,phone,iOS,2.4.0,login_failed,45,772,1244,1800000900,1800000945,0
logs-row-0000013,log-0000013,log-0000013,user-00013,laptop,iOS,2.5.1,view,315,803,1281,1800000975,1800001290,1
logs-row-0000014,log-0000014,log-0000014,user-00014,desktop,iOS,2.5.0,logout,332,834,1318,1800001050,1800001382,1
logs-row-0000015,log-0000015,log-0000015,user-00015,tablet,iOS,2.4.1,login,353,865,1355,1800001125,1800001478,1
logs-row-0000016,log-0000016,log-0000016,user-00016,phone,iOS,2.4.0,purchase,373,896,1392,1800001200,1800001573,1
logs-row-0000017,log-0000017,log-0000017,user-00017,laptop,iOS,2.5.1,login_failed,45,927,1429,1800001275,1800001320,0
logs-row-0000018,log-0000018,log-0000018,user-00018,desktop,iOS,2.5.0,view,412,958,1466,1800001350,1800001762,1
logs-row-0000019,log-0000019,log-0000019,user-00019,tablet,iOS,2.4.1,logout,432,989,1503,1800001425,1800001857,1
logs-row-0000020,log-0000020,log-0000020,user-00020,phone,iOS,2.4.0,login,449,1020,1540,1800001500,1800001949,1
logs-row-0000021,log-0000021,log-0000021,user-00021,laptop,iOS,2.5.1,purchase,467,1051,1577,1800001575,1800002042,1
logs-row-0000022,log-0000022,log-0000022,user-00022,desktop,iOS,2.5.0,login_failed,45,1082,1614,1800001650,1800001695,0
logs-row-0000023,log-0000023,log-0000023,user-00023,tablet,iOS,2.4.1,view,504,1113,1651,1800001725,1800002229,1
logs-row-0000024,log-0000024,log-0000024,user-00024,phone,iOS,2.4.0,logout,525,1144,1688,1800001800,1800002325,1
logs-row-0000025,log-0000025,log-0000025,user-00025,laptop,iOS,2.5.1,login,541,1175,1725,1800001875,1800002416,1
logs-row-0000026,log-0000026,log-0000026,user-00026,desktop,iOS,2.5.0,purchase,559,1206,1762,1800001950,1800002509,1
logs-row-0000027,log-0000027,log-0000027,user-00027,tablet,iOS,2.4.1,login_failed,45,1237,1799,1800002025,1800002070,0
logs-row-0000028,log-0000028,log-0000028,user-00028,phone,iOS,2.4.0,view,603,1268,1836,1800002100,1800002703,1
logs-row-0000029,log-0000029,log-0000029,user-00029,laptop,iOS,2.5.1,logout,618,1299,1873,1800002175,1800002793,1
logs-row-0000030,log-0000030,log-0000030,user-00030,desktop,iOS,2.5.0,login,639,1330,1910,1800002250,1800002889,1
logs-row-0000031,log-0000031,log-0000031,user-00031,tablet,iOS,2.4.1,purchase,660,1361,1947,1800002325,1800002985,1
logs-row-0000032,log-0000032,log-0000032,user-00032,phone,iOS,2.4.0,login_failed,45,1392,1984,1800002400,1800002445,0
logs-row-0000033,log-0000033,log-0000033,user-00033,laptop,iOS,2.5.1,view,692,1423,2021,1800002475,1800003167,1
logs-row-0000034,log-0000034,log-0000034,user-00034,desktop,iOS,2.5.0,logout,714,1454,2058,1800002550,1800003264,1
logs-row-0000035,log-0000035,log-0000035,user-00035,tablet,iOS,2.4.1,login,731,1485,2095,1800002625,1800003356,1
logs-row-0000036,log-0000036,log-0000036,user-00036,phone,iOS,2.4.0,purchase,754,1516,2132,1800002700,1800003454,1
logs-row-0000037,log-0000037,log-0000037,user-00037,laptop,iOS,2.5.1,login_failed,45,1547,2169,1800002775,1800002820,0
logs-row-0000038,log-0000038,log-0000038,user-00038,desktop,iOS,2.5.0,view,788,1578,2206,1800002850,1800003638,1
logs-row-0000039,log-0000039,log-0000039,user-00039,tablet,iOS,2.4.1,logout,813,1609,2243,1800002925,1800003738,1
logs-row-0000040,log-0000040,log-0000040,user-00040,phone,iOS,2.4.0,login,827,1640,2280,1800003000,1800003827,1
logs-row-0000041,log-0000041,log-0000041,user-00041,laptop,iOS,2.5.1,purchase,849,1671,2317,1800003075,1800003924,1
logs-row-0000042,log-0000042,log-0000042,user-00042,desktop,iOS,2.5.0,login_failed,45,1702,2354,1800003150,1800003195,0
logs-row-0000043,log-0000043,log-0000043,user-00043,tablet,iOS,2.4.1,view,884,1733,2391,1800003225,1800004109,1
logs-row-0000044,log-0000044,log-0000044,user-00044,phone,iOS,2.4.0,logout,905,1764,2428,1800003300,1800004205,1
logs-row-0000045,log-0000045,log-0000045,user-00045,laptop,iOS,2.5.1,login,920,1795,2465,1800003375,1800004295,1
logs-row-0000046,log-0000046,log-0000046,user-00046,desktop,iOS,2.5.0,purchase,943,1826,2502,1800003450,1800004393,1
logs-row-0000047,log-0000047,log-0000047,user-00047,tablet,iOS,2.4.1,login_failed,45,1857,2539,1800003525,1800003570,0
logs-row-0000048,log-0000048,log-0000048,user-00048,phone,iOS,2.4.0,view,82,1888,2576,1800003600,1800003682,1
logs-row-0000049,log-0000049,log-0000049,user-00049,laptop,iOS,2.5.1,logout,101,1919,2613,1800003675,1800003776,1
logs-row-0000050,log-0000050,log-0000050,user-00050,desktop,iOS,2.5.0,login,117,1950,2650,1800003750,1800003867,1
logs-row-0000051,log-0000051,log-0000051,user-00051,tablet,iOS,2.4.1,purchase,139,1981,2687,1800003825,1800003964,1
logs-row-0000052,log-0000052,log-0000052,user-00052,phone,iOS,2.4.0,login_failed,45,2012,2724,1800003900,1800003945,0
logs-row-0000053,log-0000053,log-0000053,user-00053,laptop,iOS,2.5.1,view,179,2043,2761,1800003975,1800004154,1
logs-row-0000054,log-0000054,log-0000054,user-00054,desktop,iOS,2.5.0,logout,198,2074,2798,1800004050,1800004248,1
logs-row-0000055,log-0000055,log-0000055,user-00055,tablet,iOS,2.4.1,login,217,2105,2835,1800004125,1800004342,1
logs-row-0000056,log-0000056,log-0000056,user-00056,phone,iOS,2.4.0,purchase,236,2136,2872,1800004200,1800004436,1
logs-row-0000057,log-0000057,log-0000057,user-00057,laptop,iOS,2.5.1,login_failed,45,2167,2909,1800004275,1800004320,0
logs-row-0000058,log-0000058,log-0000058,user-00058,desktop,iOS,2.5.0,view,274,2198,2946,1800004350,1800004624,1
logs-row-0000059,log-0000059,log-0000059,user-00059,tablet,iOS,2.4.1,logout,288,2229,2983,1800004425,1800004713,1
logs-row-0000060,log-0000060,log-0000060,user-00060,phone,iOS,2.4.0,login,305,2260,3020,1800004500,1800004805,1
logs-row-0000061,log-0000061,log-0000061,user-00061,laptop,iOS,2.5.1,purchase,329,2291,3057,1800004575,1800004904,1
logs-row-0000062,log-0000062,log-0000062,user-00062,desktop,iOS,2.5.0,login_failed,45,2322,3094,1800004650,1800004695,0
