order_id,customer_id,customer_segment,sales_channel,region,payment_method,shipping_status,unit_price,quantity,discount_pct,order_total,order_start,order_end
ord-0001,cust-001,retail,web,NorthAmerica,card,delivered,24.50,2,0.05,46.55,10,12
ord-0002,cust-002,retail,web,EU,card,delivered,31.20,1,0.00,31.20,11,13
ord-0003,cust-003,wholesale,store,NorthAmerica,invoice,processing,18.75,4,0.10,67.50,12,15
ord-0004,cust-004,retail,mobile,APAC,wallet,delivered,42.00,1,0.05,39.90,13,16
ord-0005,cust-005,enterprise,web,NorthAmerica,invoice,delivered,99.00,3,0.15,252.45,14,17
ord-0006,cust-006,retail,store,EU,card,returned,27.80,2,0.00,55.60,15,18
ord-0007,cust-007,wholesale,web,LATAM,wire,processing,16.40,5,0.08,75.44,16,19
ord-0008,cust-008,retail,mobile,NorthAmerica,wallet,delivered,58.10,1,0.10,52.29,17,20
ord-0009,cust-009,retail,web,EU,card,delivered,22.30,3,0.05,63.56,18,21
ord-0010,cust-010,enterprise,store,NorthAmerica,invoice,processing,120.00,2,0.20,192.00,19,22
ord-0011,cust-011,retail,web,APAC,card,delivered,19.99,2,0.00,39.98,20,23
ord-0012,cust-012,wholesale,mobile,EU,wire,delivered,36.60,4,0.12,128.83,21,24
ord-0013,cust-013,retail,web,NorthAmerica,card,delivered,,2,0.05,47.40,22,25
ord-0014,cust-014,retail,store,EU,card,processing,28.40,,0.00,56.80,23,26
ord-0015,cust-015,enterprise,web,NorthAmerica,invoice,delivered,88.75,2,,177.50,24,27
ord-0016,cust-016,,mobile,APAC,wallet,delivered,33.30,3,0.05,94.91,25,28
ord-0017,cust-017,retail,web,NorthAmerica,crypto_wallet,delivered,26.10,2,0.00,52.20,26,29
ord-0018,cust-018,retail,kiosk_beta,EU,card,processing,30.00,1,0.00,30.00,27,30
ord-0019,cust-019,wholesale,web,MOON,wire,delivered,44.20,3,0.10,119.34,28,31
ord-0020,cust-020,retail,store,NorthAmerica,card,delivered,9999.00,1,0.00,9999.00,29,32
ord-0021,cust-021,enterprise,web,EU,invoice,delivered,110.00,50,0.10,4950.00,30,33
ord-0022,cust-022,retail,mobile,APAC,wallet,delivered,35.00,2,5.00,70.00,31,34
ord-0023,cust-023,retail,web,NorthAmerica,card,delivered,29.10,2,0.05,55.29,45,35
ord-0024,cust-024,wholesale,store,EU,wire,returned,64.00,3,0.10,172.80,46,36
ord-0025,cust-025,retail,web,NorthAmerica,card,delivered,24.50,2,0.05,46.55,10,12
ord-0025,cust-025,retail,web,NorthAmerica,card,delivered,24.50,2,0.05,46.55,10,12
ord-0027,cust-027,enterprise,web,NorthAmerica,invoice,processing,101.00,2,0.15,171.70,49,52
ord-0028,cust-028,retail,mobile,EU,wallet,delivered,39.50,1,0.00,39.50,50,53
ord-0029,cust-029,retail,web,APAC,card,delivered,21.00,2,0.05,39.90,51,54
ord-0030,cust-030,wholesale,store,NorthAmerica,wire,processing,57.25,4,0.08,210.68,52,55
