event_id,user_id,device_type,os_name,app_version,region,event_type,network_type,age,session_duration_sec,battery_pct,error_count,session_start,session_end
evt-0001,user-001,phone,Android,2.4.1,NorthAmerica,login,wifi,28,320,84,0,100,108
evt-0002,user-002,phone,iOS,2.4.1,EU,view,cellular,34,480,77,1,101,109
evt-0003,user-003,tablet,Android,2.4.0,NorthAmerica,purchase,wifi,41,610,69,0,102,111
evt-0004,user-004,phone,iOS,2.4.1,APAC,view,wifi,23,205,92,0,103,110
evt-0005,user-005,laptop,Windows,2.3.9,NorthAmerica,login,ethernet,52,900,55,2,104,115
evt-0006,user-006,phone,Android,2.4.1,EU,view,cellular,19,150,88,0,105,112
evt-0007,user-007,tablet,iOS,2.4.1,LATAM,logout,wifi,37,430,73,1,106,113
evt-0008,user-008,phone,Android,2.4.0,NorthAmerica,view,wifi,45,700,61,0,107,116
evt-0009,user-009,phone,iOS,2.4.1,EU,purchase,cellular,31,520,66,0,108,117
evt-0010,user-010,laptop,macOS,2.3.9,NorthAmerica,login,wifi,48,850,58,1,109,119
evt-0011,user-011,phone,Android,2.4.1,APAC,view,wifi,26,290,81,0,110,118
evt-0012,user-012,tablet,Android,2.4.0,EU,logout,cellular,39,360,74,0,111,120
evt-0013,user-013,phone,iOS,2.4.1,NorthAmerica,view,wifi,,410,79,0,112,121
evt-0014,user-014,phone,Android,2.4.1,EU,login,cellular,33,,83,1,113,122
evt-0015,user-015,tablet,iOS,2.4.0,APAC,purchase,wifi,44,620,,0,114,123
evt-0016,user-016,phone,,2.4.1,NorthAmerica,view,wifi,29,340,86,0,115,124
evt-0017,user-017,watchOS_lab,Android,2.4.1,NorthAmerica,view,wifi,36,380,78,0,116,125
evt-0018,user-018,phone,TempleOS,2.4.1,EU,login,cellular,27,260,90,0,117,126
evt-0019,user-019,tablet,Android,9.9.9-canary,MOON,debug_event,satellite,42,720,63,1,118,127
evt-0020,user-020,phone,iOS,2.4.1,NorthAmerica,view,wifi,999,300,82,0,119,128
evt-0021,user-021,laptop,Windows,2.3.9,EU,login,ethernet,54,99999,51,3,120,129
evt-0022,user-022,phone,Android,2.4.1,APAC,view,cellular,22,240,-20,0,121,130
evt-0023,user-023,phone,iOS,2.4.1,NorthAmerica,purchase,wifi,30,540,68,0,140,131
evt-0024,user-024,tablet,Android,2.4.0,EU,logout,wifi,38,390,75,1,141,132
evt-0025,user-025,phone,Android,2.4.1,NorthAmerica,login,wifi,28,320,84,0,100,108
evt-0025,user-025,phone,Android,2.4.1,NorthAmerica,login,wifi,28,320,84,0,100,108
evt-0027,user-027,laptop,macOS,2.3.9,NorthAmerica,view,wifi,47,780,60,1,144,153
evt-0028,user-028,phone,iOS,2.4.1,EU,login,cellular,32,310,87,0,145,154
evt-0029,user-029,tablet,Android,2.4.0,APAC,purchase,wifi,43,650,70,0,146,155
evt-0030,user-030,phone,Android,2.4.1,NorthAmerica,logout,wifi,25,210,89,0,147,156
