injection_id,anomaly_type,expected_issue_type,row_id,source_row_id,row_index,column,original_value,corrupted_value,repairable,notes
m1-0001,missing_values,missing_values,m1-row-01871,33410,1871,avg_glucose_level,79.44,,True,Cell was replaced with a missing value.
m1-0002,missing_values,missing_values,m1-row-00014,354,14,bmi,28.9,,True,Cell was replaced with a missing value.
m1-0003,missing_values,missing_values,m1-row-03210,56021,3210,bmi,23.6,,True,Cell was replaced with a missing value.
m1-0004,missing_values,missing_values,m1-row-00378,6976,378,bmi,23.6,,True,Cell was replaced with a missing value.
m1-0005,missing_values,missing_values,m1-row-00697,12396,697,bmi,26.8,,True,Cell was replaced with a missing value.
m1-0006,missing_values,missing_values,m1-row-01417,25404,1417,work_type,Private,,True,Cell was replaced with a missing value.
m1-0007,missing_values,missing_values,m1-row-04061,70081,4061,avg_glucose_level,77.24,,True,Cell was replaced with a missing value.
m1-0008,missing_values,missing_values,m1-row-00070,1323,70,work_type,Private,,True,Cell was replaced with a missing value.
m1-0009,missing_values,missing_values,m1-row-00269,5173,269,work_type,Private,,True,Cell was replaced with a missing value.
m1-0010,missing_values,missing_values,m1-row-00263,5046,263,bmi,23.4,,True,Cell was replaced with a missing value.
m1-0011,missing_values,missing_values,m1-row-02076,37025,2076,bmi,18.1,,True,Cell was replaced with a missing value.
m1-0012,missing_values,missing_values,m1-row-02421,42899,2421,smoking_status,formerly smoked,,True,Cell was replaced with a missing value.
m1-0013,missing_values,missing_values,m1-row-01517,27382,1517,avg_glucose_level,92.15,,True,Cell was replaced with a missing value.
m1-0014,missing_values,missing_values,m1-row-03604,62396,3604,smoking_status,never smoked,,True,Cell was replaced with a missing value.
m1-0015,missing_values,missing_values,m1-row-03812,65849,3812,bmi,25.3,,True,Cell was replaced with a missing value.
m1-0016,missing_values,missing_values,m1-row-03163,55232,3163,bmi,27.9,,True,Cell was replaced with a missing value.
m1-0017,missing_values,missing_values,m1-row-03824,66051,3824,work_type,Self-employed,,True,Cell was replaced with a missing value.
m1-0018,missing_values,missing_values,m1-row-02050,36698,2050,smoking_status,smokes,,True,Cell was replaced with a missing value.
m1-0019,missing_values,missing_values,m1-row-00358,6625,358,bmi,20.8,,True,Cell was replaced with a missing value.
m1-0020,missing_values,missing_values,m1-row-03334,57813,3334,smoking_status,never smoked,,True,Cell was replaced with a missing value.
m1-0021,missing_values,missing_values,m1-row-01757,31409,1757,smoking_status,never smoked,,True,Cell was replaced with a missing value.
m1-0022,missing_values,missing_values,m1-row-02035,36471,2035,smoking_status,Unknown,,True,Cell was replaced with a missing value.
m1-0023,missing_values,missing_values,m1-row-00723,12857,723,avg_glucose_level,73.57,,True,Cell was replaced with a missing value.
m1-0024,missing_values,missing_values,m1-row-01817,32352,1817,avg_glucose_level,104.55,,True,Cell was replaced with a missing value.
m1-0025,missing_values,missing_values,m1-row-02895,50775,2895,smoking_status,Unknown,,True,Cell was replaced with a missing value.
m1-0026,missing_values,missing_values,m1-row-01595,28500,1595,avg_glucose_level,91.98,,True,Cell was replaced with a missing value.
m1-0027,missing_values,missing_values,m1-row-03938,68034,3938,smoking_status,never smoked,,True,Cell was replaced with a missing value.
m1-0028,missing_values,missing_values,m1-row-00367,6850,367,avg_glucose_level,93.21,,True,Cell was replaced with a missing value.
m1-0029,missing_values,missing_values,m1-row-00969,16987,969,avg_glucose_level,96.62,,True,Cell was replaced with a missing value.
m1-0030,missing_values,missing_values,m1-row-02954,51762,2954,smoking_status,Unknown,,True,Cell was replaced with a missing value.
m1-0031,numeric_outlier,numeric_outlier,m1-row-04135,71420,4135,avg_glucose_level,65.12,420,True,Numeric value was moved outside the clean subset range.
m1-0032,numeric_outlier,numeric_outlier,m1-row-02146,38184,2146,age,79,140,True,Numeric value was moved outside the clean subset range.
m1-0033,numeric_outlier,numeric_outlier,m1-row-00956,16837,956,avg_glucose_level,77.92,420,True,Numeric value was moved outside the clean subset range.
m1-0034,numeric_outlier,numeric_outlier,m1-row-00114,2532,114,bmi,26.7,95,True,Numeric value was moved outside the clean subset range.
m1-0035,numeric_outlier,numeric_outlier,m1-row-00255,4959,255,age,5,140,True,Numeric value was moved outside the clean subset range.
m1-0036,numeric_outlier,numeric_outlier,m1-row-00765,13547,765,bmi,29.2,95,True,Numeric value was moved outside the clean subset range.
m1-0037,numeric_outlier,numeric_outlier,m1-row-04182,72188,4182,avg_glucose_level,107.47,420,True,Numeric value was moved outside the clean subset range.
m1-0038,numeric_outlier,numeric_outlier,m1-row-01898,33924,1898,bmi,22.2,95,True,Numeric value was moved outside the clean subset range.
m1-0039,numeric_outlier,numeric_outlier,m1-row-00855,15104,855,bmi,24.9,95,True,Numeric value was moved outside the clean subset range.
m1-0040,numeric_outlier,numeric_outlier,m1-row-01851,33085,1851,age,20,140,True,Numeric value was moved outside the clean subset range.
m1-0041,numeric_outlier,numeric_outlier,m1-row-03020,52790,3020,avg_glucose_level,123.81,420,True,Numeric value was moved outside the clean subset range.
m1-0042,numeric_outlier,numeric_outlier,m1-row-04074,70392,4074,avg_glucose_level,112.72,420,True,Numeric value was moved outside the clean subset range.
m1-0043,numeric_outlier,numeric_outlier,m1-row-00704,12487,704,age,65,140,True,Numeric value was moved outside the clean subset range.
m1-0044,numeric_outlier,numeric_outlier,m1-row-00978,17175,978,age,15,140,True,Numeric value was moved outside the clean subset range.
m1-0045,numeric_outlier,numeric_outlier,m1-row-00148,3045,148,bmi,37.6,95,True,Numeric value was moved outside the clean subset range.
m1-0046,numeric_outlier,numeric_outlier,m1-row-03978,68601,3978,avg_glucose_level,67.92,420,True,Numeric value was moved outside the clean subset range.
m1-0047,numeric_outlier,numeric_outlier,m1-row-00532,9612,532,age,6,140,True,Numeric value was moved outside the clean subset range.
m1-0048,numeric_outlier,numeric_outlier,m1-row-03396,59027,3396,bmi,23.4,95,True,Numeric value was moved outside the clean subset range.
m1-0049,numeric_outlier,numeric_outlier,m1-row-00330,6206,330,age,67,140,True,Numeric value was moved outside the clean subset range.
m1-0050,numeric_outlier,numeric_outlier,m1-row-03502,60732,3502,avg_glucose_level,89.32,420,True,Numeric value was moved outside the clean subset range.
m1-0051,numeric_outlier,numeric_outlier,m1-row-01412,25283,1412,age,48,140,True,Numeric value was moved outside the clean subset range.
m1-0052,numeric_outlier,numeric_outlier,m1-row-01545,27794,1545,avg_glucose_level,88.39,420,True,Numeric value was moved outside the clean subset range.
m1-0053,numeric_outlier,numeric_outlier,m1-row-00073,1451,73,age,17,140,True,Numeric value was moved outside the clean subset range.
m1-0054,numeric_outlier,numeric_outlier,m1-row-03952,68245,3952,avg_glucose_level,59.17,420,True,Numeric value was moved outside the clean subset range.
m1-0055,rare_category,rare_category,m1-row-00969,16987,969,gender,Female,__M1_RARE_GENDER_000__,True,Categorical value was replaced with a deterministic singleton category.
m1-0056,rare_category,rare_category,m1-row-00686,12204,686,smoking_status,never smoked,__M1_RARE_SMOKING_STATUS_001__,True,Categorical value was replaced with a deterministic singleton category.
m1-0057,rare_category,rare_category,m1-row-01868,33400,1868,smoking_status,smokes,__M1_RARE_SMOKING_STATUS_002__,True,Categorical value was replaced with a deterministic singleton category.
m1-0058,rare_category,rare_category,m1-row-03440,59737,3440,gender,Female,__M1_RARE_GENDER_003__,True,Categorical value was replaced with a deterministic singleton category.
